캐릭터의 고유 id,캐릭터의 레벨,캐릭터의 최대 HP,캐릭터의 공격력,캐릭터의 방어력,캐릭터의 아웃게임 최대 경험치,캐릭터의 회피율(%),캐릭터의 치명타 확률(%),치명타 발생 시 데미지 배율,캐릭터의 치명 저항 확률(%),캐릭터의 HP 회복량 보너스(%),캐릭터가 아이템을 획득하는 콜라이더의 직경,캐릭터의 이동속도,캐릭터의 공격 속도(%),장비가 드롭될 확률 보너스(%),인게임 내 반질 금화 획득 시 획득량(%),인게임 경험치 획득량(%)
1,20,876,145,26,"31,310",5,30,1.5,10,100,100,10,100,100,100,100
1,21,899,150,27,"36,005",5,30,1.5,10,100,100,10,100,100,100,100
1,22,923,155,28,"41,406",5,30,1.5,10,100,100,10,100,100,100,100
1,23,946,160,29,"47,617",5,30,1.5,10,100,100,10,100,100,100,100
1,24,970,165,30,"54,760",5,30,1.5,10,100,100,10,100,100,100,100
1,25,993,170,31,"62,975",5,30,1.5,10,100,100,10,100,100,100,100
1,26,"1,017",175,32,"72,420",5,30,1.5,10,100,100,10,100,100,100,100
1,27,"1,040",180,32,"83,283",5,30,1.5,10,100,100,10,100,100,100,100
1,28,"1,064",185,33,"95,775",5,30,1.5,10,100,100,10,100,100,100,100
1,29,"1,087",190,34,"110,143",5,30,1.5,10,100,100,10,100,100,100,100
1,30,"1,111",195,35,"126,663",5,30,1.5,10,100,100,10,100,100,100,100
1,31,"1,178",200,37,"251,602",5,30,1.5,10,100,100,10,100,100,100,100
1,32,"1,245",205,38,"289,340",5,30,1.5,10,100,100,10,100,100,100,100
1,33,"1,313",210,40,"332,743",5,30,1.5,10,100,100,10,100,100,100,100
1,34,"1,380",215,41,"382,652",5,30,1.5,10,100,100,10,100,100,100,100
1,35,"1,447",220,43,"440,051",5,30,1.5,10,100,100,10,100,100,100,100
1,36,"1,514",225,44,"506,057",5,30,1.5,10,100,100,10,100,100,100,100
1,37,"1,582",230,46,"581,966",5,30,1.5,10,100,100,10,100,100,100,100
1,38,"1,649",235,47,"669,264",5,30,1.5,10,100,100,10,100,100,100,100
1,39,"1,716",240,49,"769,652",5,30,1.5,10,100,100,10,100,100,100,100
1,40,"1,783",245,50,"885,100",5,30,1.5,10,100,100,10,100,100,100,100
1,41,"1,851",250,52,"1,017,864",5,30,1.5,10,100,100,10,100,100,100,100
1,42,"1,918",255,53,"1,170,544",5,30,1.5,10,100,100,10,100,100,100,100
1,43,"1,985",260,55,"1,346,127",5,30,1.5,10,100,100,10,100,100,100,100
1,44,"2,052",265,56,"1,548,044",5,30,1.5,10,100,100,10,100,100,100,100
1,45,"2,119",270,58,"1,780,251",5,30,1.5,10,100,100,10,100,100,100,100
1,46,"2,187",275,59,"2,047,288",5,30,1.5,10,100,100,10,100,100,100,100
1,47,"2,254",280,61,"2,354,381",5,30,1.5,10,100,100,10,100,100,100,100
1,48,"2,321",285,62,"2,707,538",5,30,1.5,10,100,100,10,100,100,100,100
1,49,"2,388",290,64,"3,113,671",5,30,1.5,10,100,100,10,100,100,100,100
1,50,"2,456",295,65,"3,580,721",5,30,1.5,10,100,100,10,100,100,100,100
1,51,"2,523",300,67,"5,960,014",5,30,1.5,10,100,100,10,100,100,100,100
1,52,"2,590",305,68,"6,854,018",5,30,1.5,10,100,100,10,100,100,100,100
1,53,"2,657",310,70,"7,882,122",5,30,1.5,10,100,100,10,100,100,100,100
1,54,"2,724",315,71,"9,064,440",5,30,1.5,10,100,100,10,100,100,100,100
1,55,"2,792",320,73,"10,424,106",5,30,1.5,10,100,100,10,100,100,100,100
1,56,"2,859",325,74,"11,987,723",5,30,1.5,10,100,100,10,100,100,100,100
1,57,"2,926",330,76,"13,785,876",5,30,1.5,10,100,100,10,100,100,100,100
1,58,"2,993",335,77,"15,853,761",5,30,1.5,10,100,100,10,100,100,100,100
1,59,"3,061",340,79,"18,231,824",5,30,1.5,10,100,100,10,100,100,100,100
1,60,"3,128",345,80,"20,966,600",5,30,1.5,10,100,100,10,100,100,100,100
1,61,"3,195",350,82,"24,111,588",5,30,1.5,10,100,100,10,100,100,100,100
1,62,"3,262",355,83,"27,728,327",5,30,1.5,10,100,100,10,100,100,100,100
1,63,"3,330",360,85,"31,887,576",5,30,1.5,10,100,100,10,100,100,100,100
1,64,"3,397",365,86,"36,670,711",5,30,1.5,10,100,100,10,100,100,100,100
1,65,"3,464",370,88,"42,171,316",5,30,1.5,10,100,100,10,100,100,100,100
