리소스 고유 ID (PK),기획 소통용 탑_타입_번호,이동 애니메이션,공격 예고 모션,공격 애니메이션,사망 애니메이션,공격 이펙트
240072,3_B_08,bossmonster_3-8_sporeking+_move,bossmonster_3-8_sporeking+,,,
240073,3_B_09,bossmonster_3-9_sporeemperor_move,bossmonster_3-9_sporeemperor,,,
240074,3_B_10,bossmonster_3-10_sporegreatking_move,bossmonster_3-10_sporegreatking,,,
240075,4_N_01,monster_4-1_oilfrypan_move,monster_4-1_oilfrypan,,,
240076,4_N_02,monster_4-2_oilladle_move,monster_4-2_oilladle,,,
240077,4_N_03,monster_4-1_oilfrypan_move,monster_4-1_oilfrypan,,,
240078,4_N_04,monster_4-2_oilladle_move,monster_4-2_oilladle,,,
240079,4_N_05,monster_4-1_oilfrypan_move,monster_4-1_oilfrypan,,,
240080,4_N_06,monster_4-2_oilladle_move,monster_4-2_oilladle,,,
240081,4_N_07,monster_4-1_oilfrypan_move,monster_4-1_oilfrypan,,,
240082,4_S_01,specialmonster_4-1_oilmissile_move,specialmonster_4-1_oilmissile,,,
240083,4_S_02,specialmonster_4-2_oilpaddle_move,specialmonster_4-2_oilpaddle,,,
240084,4_S_03,specialmonster_4-1_oilmissile_move,specialmonster_4-1_oilmissile,,,
240085,4_S_04,specialmonster_4-2_oilpaddle_move,specialmonster_4-2_oilpaddle,,,
240086,4_S_05,specialmonster_4-1_oilmissile_move,specialmonster_4-1_oilmissile,,,
240087,4_S_06,specialmonster_4-2_oilpaddle_move,specialmonster_4-2_oilpaddle,,,
240088,4_S_07,specialmonster_4-1_oilmissile_move,specialmonster_4-1_oilmissile,,,
240089,4_S_08,specialmonster_4-2_oilpaddle_move,specialmonster_4-2_oilpaddle,,,
240090,4_S_09,specialmonster_4-1_oilmissile_move,specialmonster_4-1_oilmissile,,,
240091,4_S_10,specialmonster_4-2_oilpaddle_move,specialmonster_4-2_oilpaddle,,,
240092,4_S_11,specialmonster_4-1_oilmissile_move,specialmonster_4-1_oilmissile,,,
240093,4_S_12,specialmonster_4-2_oilpaddle_move,specialmonster_4-2_oilpaddle,,,
240094,4_S_13,specialmonster_4-1_oilmissile_move,specialmonster_4-1_oilmissile,,,
240095,4_S_14,specialmonster_4-2_oilpaddle_move,specialmonster_4-2_oilpaddle,,,
240096,4_S_15,specialmonster_4-1_oilmissile_move,specialmonster_4-1_oilmissile,,,
240097,4_E_01,elitemonster_4-1_oilpot_move,elitemonster_4-1_oilpot,,,
240098,4_E_02,elitemonster_4-2_oilkitchentable_move,elitemonster_4-2_oilkitchentable,,,
240099,4_E_03,elitemonster_4-1_oilpot_move,elitemonster_4-1_oilpot,,,
240100,4_E_04,elitemonster_4-2_oilkitchentable_move,elitemonster_4-2_oilkitchentable,,,
240101,4_E_05,elitemonster_4-1_oilpot_move,elitemonster_4-1_oilpot,,,
240102,4_B_01,bossmonster_4-1_oilduck_move,bossmonster_4-1_oilduck,,,
240103,4_B_02,bossmonster_4-2_oilduck+_move,bossmonster_4-2_oilduck+,,,
240104,4_B_03,bossmonster_4-3_glitterduck_move,bossmonster_4-3_glitterduck,,,
240105,4_B_04,bossmonster_4-4_glitterduck+_move,bossmonster_4-4_glitterduck+,,,
240106,4_B_05,bossmonster_4-5_oilcaptain_move,bossmonster_4-5_oilcaptain,,,
240107,4_B_06,bossmonster_4-6_oilcaptain+_move,bossmonster_4-6_oilcaptain+,,,
240108,4_B_07,bossmonster_4-7_oilking_move,bossmonster_4-7_oilking,,,
240109,4_B_08,bossmonster_4-8_oilking+_move,bossmonster_4-8_oilking+,,,
240110,4_B_09,bossmonster_4-9_oillord_move,bossmonster_4-9_oillord,,,
240111,4_B_10,bossmonster_4-10_oilemperor_move,bossmonster_4-10_oilemperor,,,
240112,5_N_01,monster_5-1_rustysaw_move,monster_5-1_rustysaw,,,
240113,5_N_02,monster_5-2_rustychain_move,monster_5-2_rustychain,,,
240114,5_N_03,monster_5-1_rustysaw_move,monster_5-1_rustysaw,,,
240115,5_N_04,monster_5-2_rustychain_move,monster_5-2_rustychain,,,
240116,5_N_05,monster_5-1_rustysaw_move,monster_5-1_rustysaw,,,
240117,5_N_06,monster_5-2_rustychain_move,monster_5-2_rustychain,,,
240118,5_N_07,monster_5-1_rustysaw_move,monster_5-1_rustysaw,,,
240119,5_S_01,specialmonster_5-1_rustyprison_move,specialmonster_5-1_rustyprison,,,
240120,5_S_02,specialmonster_5-2_rustyboltbomb_move,specialmonster_5-2_rustyboltbomb,,,
240121,5_S_03,specialmonster_5-1_rustyprison_move,specialmonster_5-1_rustyprison,,,
240122,5_S_04,specialmonster_5-2_rustyboltbomb_move,specialmonster_5-2_rustyboltbomb,,,
240123,5_S_05,specialmonster_5-1_rustyprison_move,specialmonster_5-1_rustyprison,,,
240124,5_S_06,specialmonster_5-2_rustyboltbomb_move,specialmonster_5-2_rustyboltbomb,,,
240125,5_S_07,specialmonster_5-1_rustyprison_move,specialmonster_5-1_rustyprison,,,
240126,5_S_08,specialmonster_5-2_rustyboltbomb_move,specialmonster_5-2_rustyboltbomb,,,
240127,5_S_09,specialmonster_5-1_rustyprison_move,specialmonster_5-1_rustyprison,,,
240128,5_S_10,specialmonster_5-2_rustyboltbomb_move,specialmonster_5-2_rustyboltbomb,,,
240129,5_S_11,specialmonster_5-1_rustyprison_move,specialmonster_5-1_rustyprison,,,
240130,5_S_12,specialmonster_5-2_rustyboltbomb_move,specialmonster_5-2_rustyboltbomb,,,
240131,5_S_13,specialmonster_5-1_rustyprison_move,specialmonster_5-1_rustyprison,,,
240132,5_S_14,specialmonster_5-2_rustyboltbomb_move,specialmonster_5-2_rustyboltbomb,,,
240133,5_S_15,specialmonster_5-1_rustyprison_move,specialmonster_5-1_rustyprison,,,
240134,5_E_01,elitemonster_5-1_rustygearpile_move,elitemonster_5-1_rustygearpile,,,
240135,5_E_02,elitemonster_5-2_rustytower_move,elitemonster_5-2_rustytower,,,
240136,5_E_03,elitemonster_5-1_rustygearpile_move,elitemonster_5-1_rustygearpile,,,
240137,5_E_04,elitemonster_5-2_rustytower_move,elitemonster_5-2_rustytower,,,
240138,5_E_05,elitemonster_5-1_rustygearpile_move,elitemonster_5-1_rustygearpile,,,
240139,5_B_01,bossmonster_5-1_rustypot_move,bossmonster_5-1_rustypot,,,
240140,5_B_02,bossmonster_5-2_rustypot+_move,bossmonster_5-2_rustypot+,,,
240141,5_B_03,bossmonster_5-3_squeakypot_move,bossmonster_5-3_squeakypot,,,
240142,5_B_04,bossmonster_5-4_squeakypot+_move,bossmonster_5-4_squeakypot+,,,
240143,5_B_05,bossmonster_5-5_rustycaptain_move,bossmonster_5-5_rustycaptain,,,
240144,5_B_06,bossmonster_5-6_rustycaptain+_move,bossmonster_5-6_rustycaptain+,,,
240145,5_B_07,bossmonster_5-7_rustyking_move,bossmonster_5-7_rustyking,,,
240146,5_B_08,bossmonster_5-8_rustyking+_move,bossmonster_5-8_rustyking+,,,
240147,5_B_09,bossmonster_5-9_rustylord_move,bossmonster_5-9_rustylord,,,
240148,5_B_10,bossmonster_5-10_rustyemperor_move,bossmonster_5-10_rustyemperor,,,
240149,6_N_01,monster_6-1_crushedcan_move,monster_6-1_crushedcan,,,
240150,6_N_02,monster_6-2_plasticbag_move,monster_6-2_plasticbag,,,
240151,6_N_03,monster_6-1_crushedcan_move,monster_6-1_crushedcan,,,
240152,6_N_04,monster_6-2_plasticbag_move,monster_6-2_plasticbag,,,
240153,6_N_05,monster_6-1_crushedcan_move,monster_6-1_crushedcan,,,
240154,6_N_06,monster_6-2_plasticbag_move,monster_6-2_plasticbag,,,
240155,6_N_07,monster_6-1_crushedcan_move,monster_6-1_crushedcan,,,
240156,6_S_01,specialmonster_6-1_crushedplastic_move,specialmonster_6-1_crushedplastic,,,
240157,6_S_02,specialmonster_6-2_plasticbagbomb_move,specialmonster_6-2_plasticbagbomb,,,
240158,6_S_03,specialmonster_6-1_crushedplastic_move,specialmonster_6-1_crushedplastic,,,
240159,6_S_04,specialmonster_6-2_plasticbagbomb_move,specialmonster_6-2_plasticbagbomb,,,
240160,6_S_05,specialmonster_6-1_crushedplastic_move,specialmonster_6-1_crushedplastic,,,
240161,6_S_06,specialmonster_6-2_plasticbagbomb_move,specialmonster_6-2_plasticbagbomb,,,
240162,6_S_07,specialmonster_6-1_crushedplastic_move,specialmonster_6-1_crushedplastic,,,
240163,6_S_08,specialmonster_6-2_plasticbagbomb_move,specialmonster_6-2_plasticbagbomb,,,
240164,6_S_09,specialmonster_6-1_crushedplastic_move,specialmonster_6-1_crushedplastic,,,
240165,6_S_10,specialmonster_6-2_plasticbagbomb_move,specialmonster_6-2_plasticbagbomb,,,
240166,6_S_11,specialmonster_6-1_crushedplastic_move,specialmonster_6-1_crushedplastic,,,
240167,6_S_12,specialmonster_6-2_plasticbagbomb_move,specialmonster_6-2_plasticbagbomb,,,
240168,6_S_13,specialmonster_6-1_crushedplastic_move,specialmonster_6-1_crushedplastic,,,
240169,6_S_14,specialmonster_6-2_plasticbagbomb_move,specialmonster_6-2_plasticbagbomb,,,
240170,6_S_15,specialmonster_6-1_crushedplastic_move,specialmonster_6-1_crushedplastic,,,
240171,6_E_01,elitemonster_6-1_trashcube_move,elitemonster_6-1_trashcube,,,
240172,6_E_02,elitemonster_6-2_trashbasket_move,elitemonster_6-2_trashbasket,,,
240173,6_E_03,elitemonster_6-1_trashcube_move,elitemonster_6-1_trashcube,,,
240174,6_E_04,elitemonster_6-2_trashbasket_move,elitemonster_6-2_trashbasket,,,
240175,6_E_05,elitemonster_6-1_trashcube_move,elitemonster_6-1_trashcube,,,
240176,6_B_01,bossmonster_6-1_plasticbaggolem_move,bossmonster_6-1_plasticbaggolem,,,
240177,6_B_02,bossmonster_6-2_plasticbaggolem+_move,bossmonster_6-2_plasticbaggolem+,,,
240178,6_B_03,bossmonster_6-3_recyclebaggolem_move,bossmonster_6-3_recyclebaggolem,,,
240179,6_B_04,bossmonster_6-4_recyclebaggolem+_move,bossmonster_6-4_recyclebaggolem+,,,
240180,6_B_05,bossmonster_6-5_landfillmaster_move,bossmonster_6-5_landfillmaster,,,
240181,6_B_06,bossmonster_6-6_landfillmaster+_move,bossmonster_6-6_landfillmaster+,,,
240182,6_B_07,bossmonster_6-7_landfillking_move,bossmonster_6-7_landfillking,,,
240183,6_B_08,bossmonster_6-8_landfillking+_move,bossmonster_6-8_landfillking+,,,
240184,6_B_09,bossmonster_6-9_landfilllord_move,bossmonster_6-9_landfilllord,,,
240185,6_B_10,bossmonster_6-10_landfillemperor_move,bossmonster_6-10_landfillemperor,,,
240186,7_N_01,monster_7-1_mudbrick_move,monster_7-1_mudbrick,,,
240187,7_N_02,monster_7-2_mossstone_move,monster_7-2_mossstone,,,
240188,7_N_03,monster_7-1_mudbrick_move,monster_7-1_mudbrick,,,
240189,7_N_04,monster_7-2_mossstone_move,monster_7-2_mossstone,,,
240190,7_N_05,monster_7-1_mudbrick_move,monster_7-1_mudbrick,,,
240191,7_N_06,monster_7-2_mossstone_move,monster_7-2_mossstone,,,
240192,7_N_07,monster_7-1_mudbrick_move,monster_7-1_mudbrick,,,
240193,7_S_01,specialmonster_7-1_mosspot_move,specialmonster_7-1_mosspot,,,
240194,7_S_02,specialmonster_7-2_mudball_move,specialmonster_7-2_mudball,,,
240195,7_S_03,specialmonster_7-1_mosspot_move,specialmonster_7-1_mosspot,,,
240196,7_S_04,specialmonster_7-2_mudball_move,specialmonster_7-2_mudball,,,
240197,7_S_05,specialmonster_7-1_mosspot_move,specialmonster_7-1_mosspot,,,
240198,7_S_06,specialmonster_7-2_mudball_move,specialmonster_7-2_mudball,,,
240199,7_S_07,specialmonster_7-1_mosspot_move,specialmonster_7-1_mosspot,,,
240200,7_S_08,specialmonster_7-2_mudball_move,specialmonster_7-2_mudball,,,
240201,7_S_09,specialmonster_7-1_mosspot_move,specialmonster_7-1_mosspot,,,
240202,7_S_10,specialmonster_7-2_mudball_move,specialmonster_7-2_mudball,,,
240203,7_S_11,specialmonster_7-1_mosspot_move,specialmonster_7-1_mosspot,,,
240204,7_S_12,specialmonster_7-2_mudball_move,specialmonster_7-2_mudball,,,
240205,7_S_13,specialmonster_7-1_mosspot_move,specialmonster_7-1_mosspot,,,
240206,7_S_14,specialmonster_7-2_mudball_move,specialmonster_7-2_mudball,,,
240207,7_S_15,specialmonster_7-1_mosspot_move,specialmonster_7-1_mosspot,,,
240208,7_E_01,elitemonster_7-1_mudstonepile_move,elitemonster_7-1_mudstonepile,,,
240209,7_E_02,elitemonster_7-2_mosswood_move,elitemonster_7-2_mosswood,,,
240210,7_E_03,elitemonster_7-1_mudstonepile_move,elitemonster_7-1_mudstonepile,,,
240211,7_E_04,elitemonster_7-2_mosswood_move,elitemonster_7-2_mosswood,,,
240212,7_E_05,elitemonster_7-1_mudstonepile_move,elitemonster_7-1_mudstonepile,,,
240213,7_B_01,bossmonster_7-1_swamptoad_move,bossmonster_7-1_swamptoad,,,
240214,7_B_02,bossmonster_7-2_swamptoad+_move,bossmonster_7-2_swamptoad+,,,
240215,7_B_03,bossmonster_7-3_swampkingtoad_move,bossmonster_7-3_swampkingtoad,,,
240216,7_B_04,bossmonster_7-4_swampkingtoad+_move,bossmonster_7-4_swampkingtoad+,,,
240217,7_B_05,bossmonster_7-5_swampcaptain_move,bossmonster_7-5_swampcaptain,,,
240218,7_B_06,bossmonster_7-6_swampcaptain+_move,bossmonster_7-6_swampcaptain+,,,
240219,7_B_07,bossmonster_7-7_swampking_move,bossmonster_7-7_swampking,,,
240220,7_B_08,bossmonster_7-8_swampking+_move,bossmonster_7-8_swampking+,,,
240221,7_B_09,bossmonster_7-9_swamplord_move,bossmonster_7-9_swamplord,,,
240222,7_B_10,bossmonster_7-10_swampemperor_move,bossmonster_7-10_swampemperor,,,
240223,1_N_01,monster_1-1_threadball_move,monster_1-1_threadball,,,
240224,1_N_02,monster_1-2_paperball_move,monster_1-2_paperball,,,
240225,1_N_03,monster_1-1_threadball_move,monster_1-1_threadball,,,
240226,1_N_04,monster_1-2_paperball_move,monster_1-2_paperball,,,
240227,1_N_05,monster_1-1_threadball_move,monster_1-1_threadball,,,
240228,1_N_06,monster_1-2_paperball_move,monster_1-2_paperball,,,
240229,1_N_07,monster_1-1_threadball_move,monster_1-1_threadball,,,
240230,1_E_01,elitemonster_1-1_tangledskein_move,elitemonster_1-1_tangledskein,,,
240231,1_E_02,elitemonster_1-2_cottonball_move,elitemonster_1-2_cottonball,,,
240232,1_E_03,elitemonster_1-3_giantdustball_move,elitemonster_1-3_giantdustball,,,
240233,1_E_04,elitemonster_1-1_tangledskein_move,elitemonster_1-1_tangledskein,,,
240234,1_E_05,elitemonster_1-2_cottonball_move,elitemonster_1-2_cottonball,,,
240235,1_E_06,elitemonster_1-3_giantdustball_move,elitemonster_1-3_giantdustball,,,
240236,1_E_07,elitemonster_1-1_tangledskein_move,elitemonster_1-1_tangledskein,,,
240237,1_E_08,elitemonster_1-2_cottonball_move,elitemonster_1-2_cottonball,,,
240238,1_E_09,elitemonster_1-3_giantdustball_move,elitemonster_1-3_giantdustball,,,
240239,1_B_01,bossmonster_1-1_possle_move,bossmonster_1-1_possle,,,
240240,1_B_02,bossmonster_1-2_possle+_move,bossmonster_1-2_possle+,,,
240241,1_B_03,bossmonster_1-3_dustking_move,bossmonster_1-3_dustking,,,
240242,1_B_04,bossmonster_1-4_dustking+_move,bossmonster_1-4_dustking+,,,
240243,1_B_05,bossmonster_1-5_dustgreatking_move,bossmonster_1-5_dustgreatking,,,
240244,2_A_01,animalmonster_2-1_rabbit_move,animalmonster_2-1_rabbit,,,
240245,2_A_02,animalmonster_2-2_sheep_move,animalmonster_2-2_sheep,,,
240246,3_A_03,animalmonster_3-1_duck_move,animalmonster_3-1_duck,,,
240247,4_A_04,animalmonster_4-1_monkey_move,animalmonster_4-1_monkey,,,
240248,4_A_05,animalmonster_4-2_horse_move,animalmonster_4-2_horse,,,
240249,5_A_06,animalmonster_5-1_rat_move,animalmonster_5-1_rat,,,
240250,5_A_07,animalmonster_5-2_dog_move,animalmonster_5-2_dog,,,
240251,6_A_08,animalmonster_6-1_cow_move,animalmonster_6-1_cow,,,
240252,7_A_09,animalmonster_7-1_pig_move,animalmonster_7-1_pig,,,
240253,7_A_10,animalmonster_7-2_tiger_move,animalmonster_7-2_tiger,,,
240254,0_SD1_01,,,,,
240255,0_SD1_02,,,,,
240256,0_SD1_03,,,,,
240257,0_SD2_01,,,,,
240258,0_SD2_02,,,,,
240259,0_SD2_03,,,,,
240260,0_SD2_04,,,,,
240261,0_SD2_05,,,,,
