패턴 고유 ID (PK),"기획 소통용
탑_타입_번호","패턴 타입
0=이동
1=투사체
2=영역
3=소환수
4=트리거",세부 패턴 구분,지속 시간 (초 단위),예고 시간 (초 단위),기본 쿨타임 (초 단위),패턴 값,데미지 배율,패턴 발동 감지 범위 (월드 유닛 단위),이동 유지 시간 (초 단위),지그재그 폭 (월드 유닛 단위),점프 높이 (월드 유닛 단위),추적 유지 시간 (초 단위),"도망 패턴 타겟 유형
0=플레이어 반대 방향
1=밀집 지역
2=지정 위치",돌진 속도,"투사체 타입
0=직선
1=포물선
2=공전
3=레이저",투사체 속도,"투사체 크기
(월드 유닛 단위)",발사 개수,연속 발사 간격 (초 단위),투사체 유지 시간 (초 단위),"투사체 관통 타입
0=소멸
1=관통
2=반사","유도 여부
false = 유도 안 함
true = 유도함",포물선 최고점 높이 (월드 유닛 단위),공전 반경 (월드 유닛 단위),"범위 반경
(월드 유닛 단위)",범위 피해 간격 (초 단위),"타겟 기준
0=플레이어 기준
1=보스 기준
2=랜덤 구역",폭발 반경 (월드 유닛 단위),소환 몬스터 ID,소환수 마리수,"소환 범위
(월드 유닛 단위)","
소환 위치 기준
0=플레이어 기준
1=보스 기준","디버프 타입
0=지속피해
1=스턴
2=이동 속도 감소",디버프 지속 시간 (초 단위),디버프 수치,지속 피해 간격 (초 단위),"바리게이트 모양
0=직사각형
1=원형","바리게이트 타겟
0=플레이어만
1=보스만
2=플레이어, 보스 함께
3= 아무도 없는 위치","바리게이트
가로 길이
 (월드 유닛 단위)","바리게이트
직사각형
세로 길이
(월드 유닛 단위)","생성 기준점
0=플레이어 기준
1=보스 기준
2=고정 좌표
 (월드 유닛 단위)","생성 기준점 대비 X 오프셋
 (월드 유닛 단위)","생성 기준점 대비 Y 오프셋
 (월드 유닛 단위)",접촉 데미지,"이동 차단 여부
false = 이동 가능
true = 이동 불가"
220009,2_S_09,1,projectile_pierce,null,null,3,null,2,2,null,null,null,null,null,null,0,1.2,0.2,5,0.5,3,1,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220010,2_S_10,1,projectile_pierce,null,null,3,null,2,2,null,null,null,null,null,null,0,1.2,0.2,5,0.5,3,1,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220011,2_S_11,1,projectile_reflect,null,null,3,null,2,2,null,null,null,null,null,null,0,0.8,0.2,5,0.5,2,2,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220012,2_S_12,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,1,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220013,2_S_13,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,1,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220014,2_S_14,1,projectile_throw,null,null,3,null,2,2,null,null,null,null,null,null,1,0.8,0.4,2,0.8,7,1,FALSE,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220015,2_S_15,1,explode_self,null,3,null,1.5,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220016,3_S_01,0,move_zigzag,null,null,null,0.8,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220017,3_S_02,0,move_zigzag,null,null,null,0.8,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220018,3_S_03,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220019,3_S_04,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220020,3_S_05,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220021,3_S_06,0,move_escape,null,3,null,1.5,null,4,8,null,null,null,1,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220022,3_S_07,1,projectile_basic,null,null,2,null,1.2,1.5,null,null,null,null,null,null,0,1.5,0.1,3,0.2,2,0,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220023,3_S_08,1,projectile_basic,null,null,2,null,1.2,1.5,null,null,null,null,null,null,0,1.5,0.1,4,0.2,2,0,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220024,3_S_09,1,projectile_pierce,null,null,3,null,2,2,null,null,null,null,null,null,0,1.2,0.2,5,0.5,3,1,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220025,3_S_10,1,projectile_pierce,null,null,3,null,2,2,null,null,null,null,null,null,0,1.2,0.2,5,0.5,3,1,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220026,3_S_11,1,projectile_reflect,null,null,3,null,2,2,null,null,null,null,null,null,0,0.8,0.2,5,0.5,2,2,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220027,3_S_12,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,1,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220028,3_S_13,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,1,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220029,3_S_14,1,projectile_throw,null,null,3,null,2,2,null,null,null,null,null,null,1,0.8,0.4,2,0.8,7,1,FALSE,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220030,3_S_15,1,explode_self,null,3,null,1.5,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220031,4_S_01,0,move_zigzag,null,null,null,0.8,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220032,4_S_02,0,move_zigzag,null,null,null,0.8,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220033,4_S_03,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220034,4_S_04,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220035,4_S_05,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220036,4_S_06,0,move_escape,null,3,null,1.5,null,4,8,null,null,null,2,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220037,4_S_07,1,projectile_basic,null,null,2,null,1.2,1.5,null,null,null,null,null,null,0,1.5,0.1,5,0.2,2,0,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220038,4_S_08,1,projectile_basic,null,null,2,null,1.2,1.5,null,null,null,null,null,null,0,1.5,0.1,6,0.2,2,0,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220039,4_S_09,1,projectile_pierce,null,null,3,null,2,2,null,null,null,null,null,null,0,1.2,0.2,5,0.5,3,1,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220040,4_S_10,1,projectile_pierce,null,null,3,null,2,2,null,null,null,null,null,null,0,1.2,0.2,5,0.5,3,1,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220041,4_S_11,1,projectile_reflect,null,null,3,null,2,2,null,null,null,null,null,null,0,0.8,0.2,5,0.5,2,2,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220042,4_S_12,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,1,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220043,4_S_13,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,1,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220044,4_S_14,1,projectile_throw,null,null,3,null,2,2,null,null,null,null,null,null,1,0.8,0.4,2,0.8,7,1,FALSE,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220045,4_S_15,1,explode_self,null,3,null,1.5,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220046,5_S_01,0,move_zigzag,null,null,null,0.8,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220047,5_S_02,0,move_zigzag,null,null,null,0.8,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220048,5_S_03,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220049,5_S_04,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220050,5_S_05,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220051,5_S_06,0,move_escape,null,3,null,1.5,null,4,8,null,null,null,0,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220052,5_S_07,1,projectile_basic,null,null,2,null,1.2,1.5,null,null,null,null,null,null,0,1.5,0.1,7,0.2,2,0,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220053,5_S_08,1,projectile_basic,null,null,2,null,1.2,1.5,null,null,null,null,null,null,0,1.5,0.1,8,0.2,2,0,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220054,5_S_09,1,projectile_pierce,null,null,3,null,2,2,null,null,null,null,null,null,0,1.2,0.2,5,0.5,3,1,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220055,5_S_10,1,projectile_pierce,null,null,3,null,2,2,null,null,null,null,null,null,0,1.2,0.2,5,0.5,3,1,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220056,5_S_11,1,projectile_reflect,null,null,3,null,2,2,null,null,null,null,null,null,0,0.8,0.2,5,0.5,2,2,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220057,5_S_12,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,1,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220058,5_S_13,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,1,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220059,5_S_14,1,projectile_throw,null,null,3,null,2,2,null,null,null,null,null,null,1,0.8,0.4,2,0.8,7,1,FALSE,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220060,5_S_15,1,explode_self,null,3,null,1.5,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220061,6_S_01,0,move_zigzag,null,null,null,0.8,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220062,6_S_02,0,move_zigzag,null,null,null,0.8,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220063,6_S_03,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220064,6_S_04,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220065,6_S_05,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220066,6_S_06,0,move_escape,null,3,null,1.5,null,4,8,null,null,null,1,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220067,6_S_07,1,projectile_basic,null,null,2,null,1.2,1.5,null,null,null,null,null,null,0,1.5,0.1,9,0.2,2,0,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220068,6_S_08,1,projectile_basic,null,null,2,null,1.2,1.5,null,null,null,null,null,null,0,1.5,0.1,10,0.2,2,0,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220069,6_S_09,1,projectile_pierce,null,null,3,null,2,2,null,null,null,null,null,null,0,1.2,0.2,5,0.5,3,1,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220070,6_S_10,1,projectile_pierce,null,null,3,null,2,2,null,null,null,null,null,null,0,1.2,0.2,5,0.5,3,1,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220071,6_S_11,1,projectile_reflect,null,null,3,null,2,2,null,null,null,null,null,null,0,0.8,0.2,5,0.5,2,2,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220072,6_S_12,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,1,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220073,6_S_13,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,1,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220074,6_S_14,1,projectile_throw,null,null,3,null,2,2,null,null,null,null,null,null,1,0.8,0.4,2,0.8,7,1,FALSE,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220075,6_S_15,1,explode_self,null,3,null,1.5,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220076,7_S_01,0,move_zigzag,null,null,null,0.8,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220077,7_S_02,0,move_zigzag,null,null,null,0.8,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220078,7_S_03,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220079,7_S_04,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220080,7_S_05,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220081,7_S_06,0,move_escape,null,3,null,1.5,null,4,8,null,null,null,2,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220082,7_S_07,1,projectile_basic,null,null,2,null,1.2,1.5,null,null,null,null,null,null,0,1.5,0.1,1,0.2,2,0,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220083,7_S_08,1,projectile_basic,null,null,2,null,1.2,1.5,null,null,null,null,null,null,0,1.5,0.1,2,0.2,2,0,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220084,7_S_09,1,projectile_pierce,null,null,3,null,2,2,null,null,null,null,null,null,0,1.2,0.2,5,0.5,3,1,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220085,7_S_10,1,projectile_pierce,null,null,3,null,2,2,null,null,null,null,null,null,0,1.2,0.2,5,0.5,3,1,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220086,7_S_11,1,projectile_reflect,null,null,3,null,2,2,null,null,null,null,null,null,0,0.8,0.2,5,0.5,2,2,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220087,7_S_12,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,1,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220088,7_S_13,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,1,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220089,7_S_14,1,projectile_throw,null,null,3,null,2,2,null,null,null,null,null,null,1,0.8,0.4,2,0.8,7,1,FALSE,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220090,7_S_15,1,explode_self,null,3,null,1.5,2,null,null,null,null,null,null,null,null,null,null,9,null,null,null,FALSE,null,null,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220091,2_B_01,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,1,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220092,2_B_02,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,2,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220093,2_B_03,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,2,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220094,2_B_03,2,area_danger,5,8,null,null,2,null,null,null,null,null,null,null,null,null,0.5,8,null,null,null,FALSE,null,null,3,0.2,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220095,2_B_04,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,2,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220096,2_B_04,2,area_danger,5,8,null,null,2,null,null,null,null,null,null,null,null,null,0.5,8,null,null,null,FALSE,null,null,3,0.2,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220097,2_B_05,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,2,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220098,2_B_05,2,area_danger,5,8,null,null,2,null,null,null,null,null,null,null,null,null,0.5,8,null,null,null,FALSE,null,null,3,0.2,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220099,2_B_05,2,area_safe,5,8,null,null,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,3,0.2,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220100,2_B_06,1,projectile_follow,null,null,5,null,2,2.5,null,null,null,null,null,null,null,0.8,0.2,2,10,5,1,TRUE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220101,2_B_06,2,area_danger,5,8,null,null,2,null,null,null,null,null,null,null,null,null,0.5,8,null,null,null,FALSE,null,null,3,0.2,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220102,2_B_06,2,area_safe,5,8,null,null,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,3,0.2,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
