Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,drop_resource_id,,,int,drop_resource ID 참조 (FK),,,,,,,,,,,,,,,,,,,,,,,,
,,pattern_group,,,,pattern_group_id,,,int,패턴 그룹 고유 ID (PK),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,index,,,string,기획 소통용 탑_타입_번호 참조 없음,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,max_concurrent_pattern,,,int,동시에 실행 가능한 최대 패턴 수,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,overlap_rule,,,enum,0=중첩 허용 1=동일 타입 중첩 제한 2=중첩 금지,,,,,,,,,,,,,,,,,,,,,,,,
,,pattern_group_composition,,,,pattern_group_id,,,int,pattern_group 참조 (FK),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,index,,,string,기획 소통용 탑_타입_번호 참조 없음,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,pattern_id,,,int,pattern 참조 (FK),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,pattern_cooldown,,,float,해당 그룹 내 개별 패턴 쿨타임,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,priority,,,int,우선순위 (낮을수록 먼저 실행),,,,,,,,,,,,,,,,,,,,,,,,
,,pattern,,,,pattern_id,,,int,패턴 고유 ID (PK),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,index,,,string,기획 소통용 탑_타입_번호 참조 없음,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,pattern_type,,,enum,패턴 타입 0=패턴 없음 1=이동 2=투사체 3=영역 4=소환수 5=트리거 6=자폭 7=레이저 8=바리케이드,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,pattern_logic_type,,,string,세부 패턴 구분,,,,,,,,,,,,,,,,,,세부 패턴 구분,,,상세,,,
,,,,,,stat_target,,,enum,스탯 변경 대상 0=hp 1=power 2=move_speed 3=mass 4=hitbox  5=nb =base_exp,,,,,,,,,,,,,,,,,,none_hitbox,,,공격 패턴 없이 히트박스만 조절 필요,,,
,,,,,,stat_value,,,float,스탯 배율,,,,,,,,,,,,,,,,,,none_movespeed,,,공격 패턴 없이 이동속도만 조절 필요,,,
,,,,,,duration,,,float,지속 시간 (초 단위),,,,,,,,,,,,,,,,,,none_hp,,,공격 패턴 없이 체력만 조절 필요,,,
,,,,,,cast_time,,,float,예고 시간 (초 단위),,,,,,,,,,,,,,,,,,move_zigzag,,,이동- 지그재그,,,
,,,,,,cooldown,,,float,기본 쿨타임 (초 단위),,,,,,,,,,,,,,,,,,move_jump,,,이동- 점프,,,
,,,,,,damage_multiply,,,float,데미지 배율,,,,,,,,,,,,,,,,,,move_escape,,,이동- 도망,,,
,,,,,,detect_range,,,float,패턴 발동 감지 범위 (월드 유닛 단위),,,,,,,,,,,,,,,,,,move_blink,,,이동- 점멸,,,
,,,,,,move_time,,,float,이동 유지 시간 (초 단위),,,,,,,,,,,,,,,,,,projectile_basic,,,투사체- 기본,,,
,,,,,,zigzag_width,,,float,지그재그 폭 (월드 유닛 단위),,,,,,,,,,,,,,,,,,projectile_pierce,,,투사체- 관통,,,
,,,,,,jump_height,,,float,점프 높이 (월드 유닛 단위),,,,,,,,,,,,,,,,,,projectile_reflect,,,투사체- 벽 반사,,,
,,,,,,chase_time,,,float,추적 유지 시간 (초 단위),,,,,,,,,,,,,,,,,,projectile_follow,,,투사체- 유도,,,
,,,,,,escape_target,,,enum,도망 패턴 타겟 유형 0=플레이어 반대 방향 1=밀집 지역 2=지정 위치,,,,,,,,,,,,,,,,,,projectile_throw,,,투사체- 상단 투척,,,
,,,,,,rush_speed,,,float,돌진 속도,,,,,,,,,,,,,,,,,,projectile_turn,,,투사체- 주변 공전,,,
,,,,,,projectile_type,,,enum,투사체 타입 0=직선 1=포물선 2=공전 3=레이저,,,,,,,,,,,,,,,,,,projectile_laser_dot,,,투사체- 레이저- 지속 피해 디버프,,,
,,,,,,projectile_speed,,,float,투사체 속도,,,,,,,,,,,,,,,,,,projectile_laser_stun,,,투사체- 레이저- 스턴 디버프,,,
,,,,,,projectile_size,,,float,투사체 크기 (월드 유닛 단위),,,,,,,,,,,,,,,,,,projectile_laser_slow,,,투사체- 레이저- 이동 속도 감소 디버프,,,
,,,,,,projectile_count,,,int,발사 개수,,,,,,,,,,,,,,,,,,area_barrier,,,영역- 바리케이드,,,
,,,,,,fire_interval,,,float,연속 발사 간격 (초 단위),,,,,,,,,,,,,,,,,,area_danger,,,영역- 위험 지대,,,
,,,,,,life_time,,,float,투사체 유지 시간 (초 단위),,,,,,,,,,,,,,,,,,area_safe,,,영역- 안전 지대,,,
,,,,,,pierce_type,,,enum,투사체 관통 타입 0=소멸 1=관통 2=반사,,,,,,,,,,,,,,,,,,summon_basic,,,소환수- 기본,,,
,,,,,,follow,,,bool,유도 여부 false = 유도 안 함 true = 유도함,,,,,,,,,,,,,,,,,,summon_shield,,,소환수- 방패,,,
,,,,,,arc_height,,,float,포물선 최고점 높이 (월드 유닛 단위),,,,,,,,,,,,,,,,,,trigger_exp_absorb,,,트리거 기믹- 경험치 방치,,,
,,,,,,projectile_radius,,,float,공전 반경 (월드 유닛 단위),,,,,,,,,,,,,,,,,,trigger_dirty_spawn,,,트리거 기믹- 더러움 소환,,,
,,,,,,area_radius,,,flaot,범위 반경 (월드 유닛 단위),,,,,,,,,,,,,,,,,,trigger_enrage,,,트리거 기믹- 광폭화,,,
,,,,,,area_damage_interval,,,float,범위 피해 간격 (초 단위),,,,,,,,,,,,,,,,,,explode_self,,,자폭,,,
,,,,,,area_target_type,,,enum,타겟 기준 0=플레이어 기준 1=보스 기준 2=랜덤 구역,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,explode_range,,,float,폭발 반경 (월드 유닛 단위),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,summon_monster_id,,,int,소환 몬스터 ID,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,summon_count,,,int,소환수 마리수,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,summon_radius,,,float,소환 범위 (월드 유닛 단위),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,summon_position_type,,,enum,소환 위치 기준 0=플레이어 기준 1=보스 기준,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,debuff_type,,,enum,디버프 타입 0=지속피해 1=스턴 2=이동 속도 감소,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,debuff_duration,,,float,디버프 지속 시간 (초 단위),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,debuff_value,,,float,디버프 수치,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,debuff_damage_interval,,,float,지속 피해 간격 (초 단위),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,barrier_shape,,,enum,바리케이드 모양 0=직사각형 1=원형,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,barrier_target_type,,,enum,바리케이드 타겟 0=플레이어만 1=보스만 2=플레이어 보스 함께 3= 아무도 없는 위치,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,barrier_size_x,,,float,바리케이드 가로 길이 (월드 유닛 단위),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,barrier_size_y,,,float,바리케이드 직사각형 세로 길이 (월드 유닛 단위),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,anchor_type,,,enum,생성 기준점 0=플레이어 기준 1=보스 기준 2=고정 좌표 (월드 유닛 단위),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,barrier_offset_x,,,float,생성 기준점 대비 X 오프셋 (월드 유닛 단위),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,barrier_offset_y,,,float,생성 기준점 대비 Y 오프셋 (월드 유닛 단위),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,barrier_damage,,,float,접촉 데미지,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,barrier_collision_block,,,bool,이동 차단 여부 false = 이동 가능 true = 이동 불가,,,,,,,,,,,,,,,,,,,,,,,,
,,boss_trigger_pattern,,,,monster_id,,,int,monster 참조 (FK),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,pattern_id,,,int,pattern 참조 (FK),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,pattern_logic_type,,,string,세부 패턴 구분,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,dirty_to_hp_value,,,float,미청소 더러움 개당 회복 HP,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,enrage_time,,,float,광폭화 간격 (초 단위),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,enrage_atk_rate,,,float,광폭화 공격력 증가율,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,enrage_hp_rate,,,float,광폭화 체력 증가율,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,enrage_max_step,,,int,최대 광폭화 단계,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,item_id,,,int,소환 더러움 아이템 ID (FK),,,,,,,,,,,,,,,,,,,,,,,,
,,monster_drop_table,,,,drop_group_id,,,int,드랍 그룹 ID (PK),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,id,,,int,아이템 ID,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,drop_rate,,,float,드랍 확률,,,,,,,,,,,,,,,,,,,,,,,,
,,monster_resource,,,,resource_id,,,int,리소스 고유 ID (PK),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,move_animation,,,srting,이동 애니메이션,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,cast_animation,,,srting,공격 예고 모션,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,attack_animation,,,srting,공격 애니메이션,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,death_animation,,,srting,사망 애니메이션,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,attack_effect,,,srting,공격 이펙트,,,,,,,,,,,,,,,,,,,,,,,,
,,pattern_object_resource,,,,resource_id,,,int,리소스 고유 ID (PK),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,pattern_id,,,int,pattern 참조 (FK),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,object_type,,,enum,0=투사체 1=영역 2=레이저 3=바리케이드,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,spawn_effect,,,string,생성 이펙트,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,idle_animation,,,string,대기 애니메이션,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,destroy_effect,,,string,파괴 이펙트,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,loop_effect,,,string,지속 이펙트,,,,,,,,,,,,,,,,,,,,,,,,
,,drop_resource,,,,resource_id,,,int,리소스 고유 ID (PK),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,drop_resource,,,string,드랍 리소스,,,,,,,,,,,,,,,,,,,,,,,,
