id,desc,group_id,level,is_max_level,add_value,cost_gold,cost_fragment,cost_id
3310302,드롭 비누 강화 2,33103,2,0,5,200000,15,34005
3310303,드롭 비누 강화 3,33103,3,0,7.5,200000,25,34005
3310304,드롭 비누 강화 4,33103,4,1,10,250000,40,34005
3310401,드롭 타올 강화 1,33104,1,0,2.5,200000,5,34005
3310402,드롭 타올 강화 2,33104,2,0,5,200000,15,34005
3310403,드롭 타올 강화 3,33104,3,0,7.5,200000,25,34005
3310404,드롭 타올 강화 4,33104,4,1,10,250000,40,34005
3310501,드롭 샤워볼 강화 1,33105,1,0,2.5,200000,5,34005
3310502,드롭 샤워볼 강화 2,33105,2,0,5,200000,15,34005
3310503,드롭 샤워볼 강화 3,33105,3,0,7.5,200000,25,34005
3310504,드롭 샤워볼 강화 4,33105,4,1,10,250000,40,34005
3310601,드롭 헤어밴드 강화 1,33106,1,0,2.5,200000,5,34005
3310602,드롭 헤어밴드 강화 2,33106,2,0,5,200000,15,34005
3310603,드롭 헤어밴드 강화 3,33106,3,0,7.5,200000,25,34005
3310604,드롭 헤어밴드 강화 4,33106,4,1,10,250000,40,34005
3320101,경치 수세미 강화 1,33201,1,0,2,200000,5,34005
3320102,경치 수세미 강화 2,33201,2,0,3,200000,15,34005
3320103,경치 수세미 강화 3,33201,3,0,4,200000,25,34005
3320104,경치 수세미 강화 4,33201,4,1,5,250000,40,34005
3320201,경치 치약 강화 1,33202,1,0,2,200000,5,34005
3320202,경치 치약 강화 2,33202,2,0,3,200000,15,34005
3320203,경치 치약 강화 3,33202,3,0,4,200000,25,34005
3320204,경치 치약 강화 4,33202,4,1,5,250000,40,34005
3320301,경치 비누 강화 1,33203,1,0,2,200000,5,34005
3320302,경치 비누 강화 2,33203,2,0,3,200000,15,34005
3320303,경치 비누 강화 3,33203,3,0,4,200000,25,34005
3320304,경치 비누 강화 4,33203,4,1,5,250000,40,34005
3320401,경치 타올 강화 1,33204,1,0,2,200000,5,34005
3320402,경치 타올 강화 2,33204,2,0,3,200000,15,34005
3320403,경치 타올 강화 3,33204,3,0,4,200000,25,34005
3320404,경치 타올 강화 4,33204,4,1,5,250000,40,34005
3320501,경치 샤워볼 강화 1,33205,1,0,2,200000,5,34005
3320502,경치 샤워볼 강화 2,33205,2,0,3,200000,15,34005
3320503,경치 샤워볼 강화 3,33205,3,0,4,200000,25,34005
3320504,경치 샤워볼 강화 4,33205,4,1,5,250000,40,34005
3320601,경치 헤어밴드 강화 1,33206,1,0,2,200000,5,34005
3320602,경치 헤어밴드 강화 2,33206,2,0,3,200000,15,34005
3320603,경치 헤어밴드 강화 3,33206,3,0,4,200000,25,34005
3320604,경치 헤어밴드 강화 4,33206,4,1,5,250000,40,34005
3330101,획득 범위 수세미 강화 1,33301,1,0,1,200000,5,34005
3330102,획득 범위 수세미 강화 2,33301,2,0,1,200000,15,34005
3330103,획득 범위 수세미 강화 3,33301,3,0,1,200000,25,34005
3330104,획득 범위 수세미 강화 4,33301,4,1,1,250000,40,34005
3330201,획득 범위 치약 강화 1,33302,1,0,1,200000,5,34005
3330202,획득 범위 치약 강화 2,33302,2,0,1,200000,15,34005
3330203,획득 범위 치약 강화 3,33302,3,0,1,200000,25,34005
3330204,획득 범위 치약 강화 4,33302,4,1,1,250000,40,34005
3330301,획득 범위 비누 강화 1,33303,1,0,1,200000,5,34005
3330302,획득 범위 비누 강화 2,33303,2,0,1,200000,15,34005
3330303,획득 범위 비누 강화 3,33303,3,0,1,200000,25,34005
3330304,획득 범위 비누 강화 4,33303,4,1,1,250000,40,34005
3330401,획득 범위 타올 강화 1,33304,1,0,1,200000,5,34005
3330402,획득 범위 타올 강화 2,33304,2,0,1,200000,15,34005
3330403,획득 범위 타올 강화 3,33304,3,0,1,200000,25,34005
3330404,획득 범위 타올 강화 4,33304,4,1,1,250000,40,34005
3330501,획득 범위 샤워볼 강화 1,33305,1,0,1,200000,5,34005
3330502,획득 범위 샤워볼 강화 2,33305,2,0,1,200000,15,34005
3330503,획득 범위 샤워볼 강화 3,33305,3,0,1,200000,25,34005
3330504,획득 범위 샤워볼 강화 4,33305,4,1,1,250000,40,34005
3330601,획득 범위 헤어밴드 강화 1,33306,1,0,1,200000,5,34005
3330602,획득 범위 헤어밴드 강화 2,33306,2,0,1,200000,15,34005
3330603,획득 범위 헤어밴드 강화 3,33306,3,0,1,200000,25,34005
3330604,획득 범위 헤어밴드 강화 4,33306,4,1,1,250000,40,34005
