고유 id,기획자 소통용,스테이지와 연결되는 그룹 id,"보상 수령 횟수 
0: 최초 클리어 1회만 지급 
1: 클리어 시 항상 지급되는 기본 보상",보상의 종류 0: 골드 1: 장비 2: 도면 ,지급할 아이템 id,최소 수량,최대 수량,해당 아이템 드랍 확률
530801,3번탑 8스테이지,308,1,0,31001,1200,1300,1
530802,3번탑 8스테이지,308,0,2,34001,3,4,1
530803,3번탑 8스테이지,308,1,2,34001,1,2,0.15
530901,3번탑 9스테이지,309,1,0,31001,1200,1300,1
530902,3번탑 9스테이지,309,0,2,34001,3,4,1
530903,3번탑 9스테이지,309,1,2,34001,1,2,0.15
531001,3번탑 10스테이지,310,1,0,31001,1600,1800,1
531002,3번탑 10스테이지,310,0,2,34001,5,5,1
531003,3번탑 10스테이지,310,0,1,32101,1,1,1
531004,3번탑 10스테이지,310,1,2,34001,3,4,0.15
531005,3번탑 10스테이지,310,1,1,32101,1,1,0.05
540101,4번탑 1스테이지,401,1,0,31001,1300,1400,1
540102,4번탑 1스테이지,401,0,2,34002,2,3,1
540103,4번탑 1스테이지,401,1,2,34002,1,1,0.15
540201,4번탑 2스테이지,402,1,0,31001,1300,1400,1
540202,4번탑 2스테이지,402,0,2,34002,2,3,1
540203,4번탑 2스테이지,402,1,2,34002,1,1,0.15
540301,4번탑 3스테이지,403,1,0,31001,1300,1400,1
540302,4번탑 3스테이지,403,0,2,34002,2,3,1
540303,4번탑 3스테이지,403,1,2,34002,1,1,0.15
540401,4번탑 4스테이지,404,1,0,31001,1300,1400,1
540402,4번탑 4스테이지,404,0,2,34002,2,3,1
540403,4번탑 4스테이지,404,1,2,34002,1,1,0.15
540501,4번탑 5스테이지,405,1,0,31001,1850,2000,1
540601,4번탑 6스테이지,406,1,0,31001,1400,1500,1
540602,4번탑 6스테이지,406,0,2,34002,2,4,1
540603,4번탑 6스테이지,406,1,2,34002,1,2,0.15
540701,4번탑 7스테이지,407,1,0,31001,1400,1500,1
540702,4번탑 7스테이지,407,0,2,34002,2,4,1
540703,4번탑 7스테이지,407,1,2,34002,1,2,0.15
540801,4번탑 8스테이지,408,1,0,31001,1400,1500,1
540802,4번탑 8스테이지,408,0,2,34002,3,4,1
540803,4번탑 8스테이지,408,1,2,34002,1,2,0.15
540901,4번탑 9스테이지,409,1,0,31001,1400,1500,1
540902,4번탑 9스테이지,409,0,2,34002,3,4,1
540903,4번탑 9스테이지,409,1,2,34002,1,2,0.15
541001,4번탑 10스테이지,410,1,0,31001,2100,2300,1
541002,4번탑 10스테이지,410,0,2,34002,5,5,1
541003,4번탑 10스테이지,410,0,1,32201,1,1,1
541004,4번탑 10스테이지,410,1,2,34002,2,3,0.15
541005,4번탑 10스테이지,410,1,1,32201,1,1,0.05
550101,5번탑 1스테이지,501,1,0,31001,1500,1600,1
550102,5번탑 1스테이지,501,0,2,34004,2,3,1
550103,5번탑 1스테이지,501,1,2,34004,1,1,0.15
550201,5번탑 2스테이지,502,1,0,31001,1500,1600,1
550202,5번탑 2스테이지,502,0,2,34004,2,3,1
550203,5번탑 2스테이지,502,1,2,34004,1,1,0.15
550301,5번탑 3스테이지,503,1,0,31001,1500,1600,1
550302,5번탑 3스테이지,503,0,2,34004,2,3,1
550303,5번탑 3스테이지,503,1,2,34004,1,1,0.15
550401,5번탑 4스테이지,504,1,0,31001,1500,1600,1
550402,5번탑 4스테이지,504,0,2,34004,2,3,1
550403,5번탑 4스테이지,504,1,2,34004,1,1,0.15
550501,5번탑 5스테이지,505,1,0,31001,2350,2500,1
550601,5번탑 6스테이지,506,1,0,31001,1600,1700,1
550602,5번탑 6스테이지,506,0,2,34004,2,4,1
550603,5번탑 6스테이지,506,1,2,34004,1,2,0.15
550701,5번탑 7스테이지,507,1,0,31001,1600,1700,1
550702,5번탑 7스테이지,507,0,2,34004,2,4,1
550703,5번탑 7스테이지,507,1,2,34004,1,2,0.15
550801,5번탑 8스테이지,508,1,0,31001,1600,1700,1
550802,5번탑 8스테이지,508,0,2,34004,3,4,1
550803,5번탑 8스테이지,508,1,2,34004,1,2,0.15
550901,5번탑 9스테이지,509,1,0,31001,1600,1700,1
550902,5번탑 9스테이지,509,0,2,34004,3,4,1
550903,5번탑 9스테이지,509,1,2,34004,1,2,0.15
551001,5번탑 10스테이지,510,1,0,31001,2600,2800,1
551002,5번탑 10스테이지,510,0,2,34004,5,5,1
551003,5번탑 10스테이지,510,0,1,32401,1,1,1
551004,5번탑 10스테이지,510,1,2,34004,2,3,0.15
551005,5번탑 10스테이지,510,1,1,32401,1,1,0.05
560101,6번탑 1스테이지,601,1,0,31001,1700,1800,1
560102,6번탑 1스테이지,601,0,2,34001,1,1,1
560103,6번탑 1스테이지,601,0,2,34002,1,1,1
560104,6번탑 1스테이지,601,0,2,34003,1,1,1
560105,6번탑 1스테이지,601,0,2,34004,1,1,1
560106,6번탑 1스테이지,601,1,2,34001,1,1,0.1
560107,6번탑 1스테이지,601,1,2,34002,1,1,0.1
560108,6번탑 1스테이지,601,1,2,34003,1,1,0.1
560109,6번탑 1스테이지,601,1,2,34004,1,1,0.1
560201,6번탑 2스테이지,602,1,0,31001,1700,1800,1
560202,6번탑 2스테이지,602,0,2,34001,1,1,1
560203,6번탑 2스테이지,602,0,2,34002,1,1,1
560204,6번탑 2스테이지,602,0,2,34003,1,1,1
560205,6번탑 2스테이지,602,0,2,34004,1,1,1
560206,6번탑 2스테이지,602,1,2,34001,1,1,0.1
560207,6번탑 2스테이지,602,1,2,34002,1,1,0.1
560208,6번탑 2스테이지,602,1,2,34003,1,1,0.1
560209,6번탑 2스테이지,602,1,2,34004,1,1,0.1
560301,6번탑 3스테이지,603,1,0,31001,1700,1800,1
560302,6번탑 3스테이지,603,0,2,34001,1,1,1
560303,6번탑 3스테이지,603,0,2,34002,1,1,1
560304,6번탑 3스테이지,603,0,2,34003,1,1,1
560305,6번탑 3스테이지,603,0,2,34004,1,1,1
560306,6번탑 3스테이지,603,1,2,34001,1,1,0.1
560307,6번탑 3스테이지,603,1,2,34002,1,1,0.1
560308,6번탑 3스테이지,603,1,2,34003,1,1,0.1
560309,6번탑 3스테이지,603,1,2,34004,1,1,0.1
560401,6번탑 4스테이지,604,1,0,31001,1700,1800,1
560402,6번탑 4스테이지,604,0,2,34001,1,1,1
560403,6번탑 4스테이지,604,0,2,34002,1,1,1
560404,6번탑 4스테이지,604,0,2,34003,1,1,1
560405,6번탑 4스테이지,604,0,2,34004,1,1,1
560406,6번탑 4스테이지,604,1,2,34001,1,1,0.1
560407,6번탑 4스테이지,604,1,2,34002,1,1,0.1
560408,6번탑 4스테이지,604,1,2,34003,1,1,0.1
560409,6번탑 4스테이지,604,1,2,34004,1,1,0.1
560501,6번탑 5스테이지,605,1,0,31001,2700,2900,1
560601,6번탑 6스테이지,606,1,0,31001,1800,1900,1
560602,6번탑 6스테이지,606,0,2,34001,1,2,1
560603,6번탑 6스테이지,606,0,2,34002,1,2,1
560604,6번탑 6스테이지,606,0,2,34003,1,2,1
560605,6번탑 6스테이지,606,0,2,34004,1,2,1
560606,6번탑 6스테이지,606,1,2,34001,1,1,0.1
560607,6번탑 6스테이지,606,1,2,34002,1,1,0.1
560608,6번탑 6스테이지,606,1,2,34003,1,1,0.1
560609,6번탑 6스테이지,606,1,2,34004,1,1,0.1
560701,6번탑 7스테이지,607,1,0,31001,1800,1900,1
560702,6번탑 7스테이지,607,0,2,34001,1,2,1
560703,6번탑 7스테이지,607,0,2,34002,1,2,1
560704,6번탑 7스테이지,607,0,2,34003,1,2,1
560705,6번탑 7스테이지,607,0,2,34004,1,2,1
560706,6번탑 7스테이지,607,1,2,34001,1,1,0.1
560707,6번탑 7스테이지,607,1,2,34002,1,1,0.1
560708,6번탑 7스테이지,607,1,2,34003,1,1,0.1
560709,6번탑 7스테이지,607,1,2,34004,1,1,0.1
560801,6번탑 8스테이지,608,1,0,31001,1800,1900,1
560802,6번탑 8스테이지,608,0,2,34001,1,2,1
560803,6번탑 8스테이지,608,0,2,34002,1,2,1
560804,6번탑 8스테이지,608,0,2,34003,1,2,1
560805,6번탑 8스테이지,608,0,2,34004,1,2,1
560806,6번탑 8스테이지,608,1,2,34001,1,1,0.1
560807,6번탑 8스테이지,608,1,2,34002,1,1,0.1
560808,6번탑 8스테이지,608,1,2,34003,1,1,0.1
560809,6번탑 8스테이지,608,1,2,34004,1,1,0.1
560901,6번탑 9스테이지,609,1,0,31001,1800,1900,1
560902,6번탑 9스테이지,609,0,2,34001,1,2,1
560903,6번탑 9스테이지,609,0,2,34002,1,2,1
560904,6번탑 9스테이지,609,0,2,34003,1,2,1
560905,6번탑 9스테이지,609,0,2,34004,1,2,1
560906,6번탑 9스테이지,609,1,2,34001,1,1,0.1
560907,6번탑 9스테이지,609,1,2,34002,1,1,0.1
560908,6번탑 9스테이지,609,1,2,34003,1,1,0.1
560909,6번탑 9스테이지,609,1,2,34004,1,1,0.1
561001,6번탑 10스테이지,610,1,0,31001,3000,3200,1
561002,6번탑 10스테이지,610,0,2,34001,3,3,1
561003,6번탑 10스테이지,610,0,2,34002,3,3,1
561004,6번탑 10스테이지,610,0,2,34003,3,3,1
561005,6번탑 10스테이지,610,0,2,34004,3,3,1
561006,6번탑 10스테이지,610,1,2,34001,1,2,0.15
561007,6번탑 10스테이지,610,1,2,34002,1,2,0.15
561008,6번탑 10스테이지,610,1,2,34003,1,2,0.15
561009,6번탑 10스테이지,610,1,2,34004,1,2,0.15
561010,6번탑 10스테이지,610,1,1,32101,1,1,0.05
561011,6번탑 10스테이지,610,1,1,32201,1,1,0.05
561012,6번탑 10스테이지,610,1,1,32301,1,1,0.05
561013,6번탑 10스테이지,610,1,1,32401,1,1,0.05
570101,7번탑 1스테이지,701,1,0,31001,2500,2800,1
570102,7번탑 1스테이지,701,0,2,34001,1,2,1
570103,7번탑 1스테이지,701,0,2,34002,1,2,1
570104,7번탑 1스테이지,701,0,2,34003,1,2,1
570105,7번탑 1스테이지,701,0,2,34004,1,2,1
570106,7번탑 1스테이지,701,1,2,34001,1,1,0.05
570107,7번탑 1스테이지,701,1,2,34002,1,1,0.05
570108,7번탑 1스테이지,701,1,2,34003,1,1,0.05
570109,7번탑 1스테이지,701,1,2,34004,1,1,0.05
570201,7번탑 2스테이지,702,1,0,31001,2500,2800,1
570202,7번탑 2스테이지,702,0,2,34001,1,2,1
570203,7번탑 2스테이지,702,0,2,34002,1,2,1
570204,7번탑 2스테이지,702,0,2,34003,1,2,1
570205,7번탑 2스테이지,702,0,2,34004,1,2,1
570206,7번탑 2스테이지,702,1,2,34001,1,1,0.05
570207,7번탑 2스테이지,702,1,2,34002,1,1,0.05
570208,7번탑 2스테이지,702,1,2,34003,1,1,0.05
570209,7번탑 2스테이지,702,1,2,34004,1,1,0.05
570301,7번탑 3스테이지,703,1,0,31001,2500,2800,1
570302,7번탑 3스테이지,703,0,2,34001,1,2,1
570303,7번탑 3스테이지,703,0,2,34002,1,2,1
570304,7번탑 3스테이지,703,0,2,34003,1,2,1
570305,7번탑 3스테이지,703,0,2,34004,1,2,1
570306,7번탑 3스테이지,703,1,2,34001,1,1,0.05
570307,7번탑 3스테이지,703,1,2,34002,1,1,0.05
570308,7번탑 3스테이지,703,1,2,34003,1,1,0.05
570309,7번탑 3스테이지,703,1,2,34004,1,1,0.05
570401,7번탑 4스테이지,704,1,0,31001,2500,2800,1
570402,7번탑 4스테이지,704,0,2,34001,1,2,1
570403,7번탑 4스테이지,704,0,2,34002,1,2,1
570404,7번탑 4스테이지,704,0,2,34003,1,2,1
570405,7번탑 4스테이지,704,0,2,34004,1,2,1
570406,7번탑 4스테이지,704,1,2,34001,1,1,0.05
570407,7번탑 4스테이지,704,1,2,34002,1,1,0.05
570408,7번탑 4스테이지,704,1,2,34003,1,1,0.05
570409,7번탑 4스테이지,704,1,2,34004,1,1,0.05
570501,7번탑 5스테이지,705,1,0,31001,4000,4500,1
570601,7번탑 6스테이지,706,1,0,31001,2800,3200,1
570602,7번탑 6스테이지,706,0,2,34001,1,2,1
570603,7번탑 6스테이지,706,0,2,34002,1,2,1
570604,7번탑 6스테이지,706,0,2,34003,1,2,1
570605,7번탑 6스테이지,706,0,2,34004,1,2,1
570606,7번탑 6스테이지,706,1,2,34001,1,1,0.05
570607,7번탑 6스테이지,706,1,2,34002,1,1,0.05
570608,7번탑 6스테이지,706,1,2,34003,1,1,0.05
570609,7번탑 6스테이지,706,1,2,34004,1,1,0.05
570701,7번탑 7스테이지,707,1,0,31001,2800,3200,1
570702,7번탑 7스테이지,707,0,2,34001,1,2,1
570703,7번탑 7스테이지,707,0,2,34002,1,2,1
570704,7번탑 7스테이지,707,0,2,34003,1,2,1
570705,7번탑 7스테이지,707,0,2,34004,1,2,1
570706,7번탑 7스테이지,707,1,2,34001,1,1,0.05
570707,7번탑 7스테이지,707,1,2,34002,1,1,0.05
570708,7번탑 7스테이지,707,1,2,34003,1,1,0.05
570709,7번탑 7스테이지,707,1,2,34004,1,1,0.05
570801,7번탑 8스테이지,708,1,0,31001,2800,3200,1
570802,7번탑 8스테이지,708,0,2,34001,1,2,1
570803,7번탑 8스테이지,708,0,2,34002,1,2,1
570804,7번탑 8스테이지,708,0,2,34003,1,2,1
570805,7번탑 8스테이지,708,0,2,34004,1,2,1
570806,7번탑 8스테이지,708,1,2,34001,1,1,0.05
570807,7번탑 8스테이지,708,1,2,34002,1,1,0.05
570808,7번탑 8스테이지,708,1,2,34003,1,1,0.05
570809,7번탑 8스테이지,708,1,2,34004,1,1,0.05
570901,7번탑 9스테이지,709,1,0,31001,2800,3200,1
570902,7번탑 9스테이지,709,0,2,34001,1,2,1
570903,7번탑 9스테이지,709,0,2,34002,1,2,1
570904,7번탑 9스테이지,709,0,2,34003,1,2,1
570905,7번탑 9스테이지,709,0,2,34004,1,2,1
570906,7번탑 9스테이지,709,1,2,34001,1,1,0.05
570907,7번탑 9스테이지,709,1,2,34002,1,1,0.05
570908,7번탑 9스테이지,709,1,2,34003,1,1,0.05
570909,7번탑 9스테이지,709,1,2,34004,1,1,0.05
571001,7번탑 10스테이지,710,1,0,31001,5000,5500,1
571002,7번탑 10스테이지,710,0,2,34001,3,4,1
571003,7번탑 10스테이지,710,0,2,34002,3,4,1
571004,7번탑 10스테이지,710,0,2,34003,3,4,1
571005,7번탑 10스테이지,710,0,2,34004,3,4,1
571006,7번탑 10스테이지,710,0,1,32101,1,1,1
571007,7번탑 10스테이지,710,0,1,32201,1,1,1
571008,7번탑 10스테이지,710,0,1,32301,1,1,1
571009,7번탑 10스테이지,710,0,1,32401,1,1,1
571010,7번탑 10스테이지,710,1,2,34001,1,2,0.05
571011,7번탑 10스테이지,710,1,2,34002,1,2,0.05
571012,7번탑 10스테이지,710,1,2,34003,1,2,0.05
571013,7번탑 10스테이지,710,1,2,34004,1,2,0.05
571014,7번탑 10스테이지,710,1,1,32101,1,1,0.05
571015,7번탑 10스테이지,710,1,1,32201,1,1,0.05
571016,7번탑 10스테이지,710,1,1,32301,1,1,0.05
571017,7번탑 10스테이지,710,1,1,32401,1,1,0.05
